"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
1805,130,"LTU","Lithuania",1,"Alytaus","","Alytus|Olita|Alitus","Apskritis","County"
1806,130,"LTU","Lithuania",2,"Kauno","","Kaunas|Kowno|Kovno","Apskritis","County"
1807,130,"LTU","Lithuania",3,"Klaipedos","","Klaipeda|Memel","Apskritis","County"
1808,130,"LTU","Lithuania",4,"Marijampoles","","Marijampole|Mariampol","Apskritis","County"
1809,130,"LTU","Lithuania",5,"Panevezio","","Panevežys|Ponewiesch|Ponewjesh|Poneviezli","Apskritis","County"
1810,130,"LTU","Lithuania",6,"Šiauliai","","Šiauliai|Schaulen|Shavli","Apskritis","County"
1811,130,"LTU","Lithuania",7,"Taurages","","Taurage|Tauroggen","Apskritis","County"
1812,130,"LTU","Lithuania",8,"Telšiai","","Telšiai|Telsche|Telschi|Telshe","Apskritis","County"
1813,130,"LTU","Lithuania",9,"Utenos","","Utena","Apskritis","County"
1814,130,"LTU","Lithuania",10,"Vilniaus","","Vilnius|Wilna|Vilna|Vilnious","Apskritis","County"
