"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
21070,130,"LTU","Lithuania",1,"Alytaus",1,"Alytaus","","Alytus|Alytus","Rajono Savivaldybe","District Municipality"
21071,130,"LTU","Lithuania",1,"Alytaus",2,"Druskininku","","Druskininkai (city)|Druskininkai","Savivaldybe","Municipality"
21072,130,"LTU","Lithuania",1,"Alytaus",3,"Lazdiju","","Lazdijai|Lazdijai","Rajono Savivaldybe","District Municipality"
21073,130,"LTU","Lithuania",1,"Alytaus",4,"Varenos","","Varena|Varena","Rajono Savivaldybe","District Municipality"
21074,130,"LTU","Lithuania",2,"Kauno",5,"Birštono","","Birstonas (city)|Birstonas","Savivaldybe","Municipality"
21075,130,"LTU","Lithuania",2,"Kauno",6,"Jonavos","","Jonava|Jonava","Rajono Savivaldybe","District Municipality"
21076,130,"LTU","Lithuania",2,"Kauno",7,"Kedainiu","","Kedinai|Kedainiai","Rajono Savivaldybe","District Municipality"
21077,130,"LTU","Lithuania",2,"Kauno",8,"Kaišiadoriu","","Kaisiadorys|Kaisiadorys","Rajono Savivaldybe","District Municipality"
21078,130,"LTU","Lithuania",2,"Kauno",9,"Kauno","","Kaunas|Kaunas","Rajono Savivaldybe","District Municipality"
21079,130,"LTU","Lithuania",2,"Kauno",10,"Prienu","","Prienai|Prienai","Rajono Savivaldybe","District Municipality"
21080,130,"LTU","Lithuania",2,"Kauno",11,"Raseiniu","","Raseinai|Raseiniai","Rajono Savivaldybe","District Municipality"
21081,130,"LTU","Lithuania",3,"Klaipedos",12,"Klaipedos","","Klaipeda|Klaipeda","Rajono Savivaldybe","District Municipality"
21082,130,"LTU","Lithuania",3,"Klaipedos",13,"Kretingos","","Kretinga|Kretinga","Rajono Savivaldybe","District Municipality"
21083,130,"LTU","Lithuania",3,"Klaipedos",14,"Neringos","","Neringa (city)|Neringa","Miesto Savivaldybe","City Municipality"
21084,130,"LTU","Lithuania",3,"Klaipedos",15,"Palangos","","Palanga (city)|Palanga","Miesto Savivaldybe","City Municipality"
21085,130,"LTU","Lithuania",3,"Klaipedos",16,"Šilutes","","Silute|Silute","Rajono Savivaldybe","District Municipality"
21086,130,"LTU","Lithuania",3,"Klaipedos",17,"Skuodo","","Skuodas|Skuodas","Rajono Savivaldybe","District Municipality"
21087,130,"LTU","Lithuania",4,"Marijampoles",18,"Marijampoles","","Marijampole|Marijampole","Savivaldybe","Municipality"
21088,130,"LTU","Lithuania",4,"Marijampoles",19,"Šakiu","","Sakiai|Sakiai","Rajono Savivaldybe","District Municipality"
21089,130,"LTU","Lithuania",4,"Marijampoles",20,"Vilkaviškio","","Vilkaviskis|Vilkaviskis","Rajono Savivaldybe","District Municipality"
21090,130,"LTU","Lithuania",5,"Panevezio",21,"Biržu","","Birzai|Birzai","Rajono Savivaldybe","District Municipality"
21091,130,"LTU","Lithuania",5,"Panevezio",22,"Kupiškio","","Kupiskis|Kupiskis","Rajono Savivaldybe","District Municipality"
21092,130,"LTU","Lithuania",5,"Panevezio",23,"Panevežio","","Panevezys|Panevezys","Rajono Savivaldybe","District Municipality"
21093,130,"LTU","Lithuania",5,"Panevezio",24,"Pasvalio","","Pasvalys|Pasvalys","Rajono Savivaldybe","District Municipality"
21094,130,"LTU","Lithuania",5,"Panevezio",25,"Rokiškio","","Rokiskis|Rokiskis","Rajono Savivaldybe","District Municipality"
21095,130,"LTU","Lithuania",6,"Šiauliai",26,"Akmenes","","Akmene|Akmene","Rajono Savivaldybe","District Municipality"
21096,130,"LTU","Lithuania",6,"Šiauliai",27,"Joniškio","","Joniskis|Joniskis","Rajono Savivaldybe","District Municipality"
21097,130,"LTU","Lithuania",6,"Šiauliai",28,"Kelmes","","Kelme|Kelme","Rajono Savivaldybe","District Municipality"
21098,130,"LTU","Lithuania",6,"Šiauliai",29,"Pakruojo","","Pakruojis|Pakruojis","Rajono Savivaldybe","District Municipality"
21099,130,"LTU","Lithuania",6,"Šiauliai",30,"Radviliškio","","Radviliskis|Radviliskis","Rajono Savivaldybe","District Municipality"
21100,130,"LTU","Lithuania",6,"Šiauliai",31,"Šiauliu","","Siauliai (city)|Siauliai [town]","Miesto Savivaldybe","City Municipality"
21101,130,"LTU","Lithuania",7,"Taurages",32,"Jurbarko","","Jurbarkas|Jurbarkas","Rajono Savivaldybe","District Municipality"
21102,130,"LTU","Lithuania",7,"Taurages",33,"Šilales","","Silale|Silale","Rajono Savivaldybe","District Municipality"
21103,130,"LTU","Lithuania",7,"Taurages",34,"Taurages","","Taurage|Taurage","Rajono Savivaldybe","District Municipality"
21104,130,"LTU","Lithuania",8,"Telšiai",35,"Mažeikiu","","Mazeikai|Mazeikiai","Rajono Savivaldybe","District Municipality"
21105,130,"LTU","Lithuania",8,"Telšiai",36,"Plunges","","Plunge|Plunge","Rajono Savivaldybe","District Municipality"
21106,130,"LTU","Lithuania",8,"Telšiai",37,"Telšiu","","Telsiai","Rajono Savivaldybe","District Municipality"
21107,130,"LTU","Lithuania",9,"Utenos",38,"Anykšciu","","Anyksciai|Anyksciai","Rajono Savivaldybe","District Municipality"
21108,130,"LTU","Lithuania",9,"Utenos",39,"Ignalinos","","Ignalina|Ignalina","Rajono Savivaldybe","District Municipality"
