"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
20952,124,"LVA","Latvia",1,"Kurzeme",1,"Kuldiga","","Goldingen","Aprinki|rajoni","District"
20953,124,"LVA","Latvia",1,"Kurzeme",2,"Liepaja","","Libau","Aprinki|rajoni","District"
20954,124,"LVA","Latvia",1,"Kurzeme",3,"Saldus","","","Aprinki|rajoni","District"
20955,124,"LVA","Latvia",1,"Kurzeme",4,"Talsi","","Talsen","Aprinki|rajoni","District"
20956,124,"LVA","Latvia",1,"Kurzeme",5,"Ventspils","","Windau","Aprinki|rajoni","District"
20957,124,"LVA","Latvia",2,"Latgale",6,"Balvi","","","Aprinki|rajoni","District"
20958,124,"LVA","Latvia",2,"Latgale",7,"Daugavpils","","Dünaburg|Dvinsk","Aprinki|rajoni","District"
20959,124,"LVA","Latvia",2,"Latgale",8,"Kraslava","","","Aprinki|rajoni","District"
20960,124,"LVA","Latvia",2,"Latgale",9,"Ludza","","Ludsen","Aprinki|rajoni","District"
20961,124,"LVA","Latvia",2,"Latgale",10,"Preili","","","Aprinki|rajoni","District"
20962,124,"LVA","Latvia",2,"Latgale",11,"Rezekne","","Rositten|Ryezhitsa (Russian-obsolete)","Aprinki|rajoni","District"
20963,124,"LVA","Latvia",3,"Riga",12,"Limbaži","","Limbazi","Aprinki|rajoni","District"
20964,124,"LVA","Latvia",3,"Riga",13,"Ogre","","","Aprinki|rajoni","District"
20965,124,"LVA","Latvia",3,"Riga",14,"Riga","","Riga incl. Jurmala|Riia","Aprinki|rajoni","District"
20966,124,"LVA","Latvia",3,"Riga",15,"Tukums","","Tukkum","Aprinki|rajoni","District"
20967,124,"LVA","Latvia",4,"Vidzeme",16,"Aluksne","","","Aprinki|rajoni","District"
20968,124,"LVA","Latvia",4,"Vidzeme",17,"Cesis","","Wenden","Aprinki|rajoni","District"
20969,124,"LVA","Latvia",4,"Vidzeme",18,"Gulbene","","","Aprinki|rajoni","District"
20970,124,"LVA","Latvia",4,"Vidzeme",19,"Madona","","","Aprinki|rajoni","District"
20971,124,"LVA","Latvia",4,"Vidzeme",20,"Valka","","","Aprinki|rajoni","District"
20972,124,"LVA","Latvia",4,"Vidzeme",21,"Valmiera","","Wolmar","Aprinki|rajoni","District"
20973,124,"LVA","Latvia",5,"Zemgale",22,"Aizkraukle","","Aizkraukles|Stuchka (Russian-obsolete)","Aprinki|rajoni","District"
20974,124,"LVA","Latvia",5,"Zemgale",23,"Bauska","","","Aprinki|rajoni","District"
20975,124,"LVA","Latvia",5,"Zemgale",24,"Dobele","","","Aprinki|rajoni","District"
20976,124,"LVA","Latvia",5,"Zemgale",25,"Jekabpils","","Jakobstadt","Aprinki|rajoni","District"
20977,124,"LVA","Latvia",5,"Zemgale",26,"Jelgava","","Mitau","Aprinki|rajoni","District"
