"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
29447,186,"RUS","Russia",1,"Adygey",1,"Giaginskiy rayon","<U+0413><U+0438><U+0430><U+0433><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29448,186,"RUS","Russia",1,"Adygey",2,"Koshekhabl'skiy rayon","<U+041A><U+043E><U+0448><U+0435><U+0445><U+0430><U+0431>a<U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29449,186,"RUS","Russia",1,"Adygey",3,"Krasnogvardeyskiy rayon","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+0433><U+0432><U+0430><U+0440><U+0434><U+0435><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29450,186,"RUS","Russia",1,"Adygey",4,"Maykop","<U+041C><U+0430><U+0439><U+043A><U+043E><U+043F>","","Gorsovet","District"
29451,186,"RUS","Russia",1,"Adygey",5,"Maykopskiy rayon","<U+041C><U+0430><U+0439><U+043A><U+043E><U+043F><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29452,186,"RUS","Russia",1,"Adygey",6,"Shovgenovskiy rayon","<U+0428><U+043E><U+0432><U+0433><U+0435><U+043D><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29453,186,"RUS","Russia",1,"Adygey",7,"Takhtamukaysk rayon","<U+0422><U+0430><U+0445><U+0442><U+0430><U+043C><U+0443><U+043A><U+0430><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","Oktyabr'","Raion","District"
29454,186,"RUS","Russia",1,"Adygey",8,"Teuchezhskiy rayon","<U+0422><U+0435><U+0443><U+0447><U+0435><U+0436><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29455,186,"RUS","Russia",2,"Aga Buryat",9,"Aginskiy rayon","<U+0410><U+0433><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29456,186,"RUS","Russia",2,"Aga Buryat",10,"Dul'durginskiy rayon","<U+0414><U+0443><U+043B><U+044C><U+0434><U+0443><U+0440><U+0433><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29457,186,"RUS","Russia",2,"Aga Buryat",11,"Mogoytuyskiy rayon","<U+041C><U+043E><U+0433><U+043E><U+0439><U+0442><U+0443><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29458,186,"RUS","Russia",3,"Altay",12,"Aleysk","<U+0410><U+043B><U+0435>´<U+0439><U+0441><U+043A>)","","Gorod","City"
29459,186,"RUS","Russia",3,"Altay",13,"Aleyskiy rayon","<U+0410><U+043B><U+0435><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29460,186,"RUS","Russia",3,"Altay",14,"Altayskiy rayon","<U+0410><U+043B><U+0442><U+0430><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
29461,186,"RUS","Russia",3,"Altay",15,"Baevskiy rayon","<U+0411><U+0430><U+0435><U+0432><U+0441><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>","","Raion","District"
