"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
3201,237,"UKR","Ukraine",1,"Cherkasy","","Cherkas'ka Oblast'|Cherkasskaya Oblast'|Cherkassy","Oblast'","Region"
3202,237,"UKR","Ukraine",2,"Chernihiv","","Chernigov|Tschernigow","Oblast'","Region"
3203,237,"UKR","Ukraine",3,"Chernivtsi","","Chernivets'ka Oblast'|Chernovitskaya Oblast'|Chernovtsy|Czernowitz|Tschernowzy|Tchernovtsy","Oblast'","Region"
3204,237,"UKR","Ukraine",4,"Crimea","","Crimée|Criméia|Krim|Krymskaya Respublika|Respublika Krym"," Autonomous Republic"," Autonomous Republic"
3205,237,"UKR","Ukraine",5,"Dnipropetrovs'k","","Dnipropetrovsk|Dniepropietrovsk|Dnjepropetrowsk","Oblast'","Region"
3206,237,"UKR","Ukraine",6,"Donets'k","","Donetsk|Donetskaya Oblast'|Donezk|Stalino","Oblast'","Region"
3207,237,"UKR","Ukraine",7,"Ivano-Frankivs'k","","Ivano-Frankovsk|Ivano-Frankovskaya Oblast'|Stanislav","Oblast'","Region"
3208,237,"UKR","Ukraine",8,"Kharkiv","","Charkow|Jarkov|Karkov|Khar'kov","Oblast'","Region"
3209,237,"UKR","Ukraine",9,"Kherson","","Cherson|Khersons'ka Oblast'","Oblast'","Region"
3210,237,"UKR","Ukraine",10,"Khmel'nyts'kyy","","Khmelnitsky|Khmelnytskyi|Chmelnizkij|Hmelnicki|Kamenets-Podol'skaya Oblast'|Khmel'nyts'ka Oblast'","Oblast'","Region"
3211,237,"UKR","Ukraine",11,"Kiev City","","Kyiv","Independent City","Independent City"
3212,237,"UKR","Ukraine",12,"Kiev","","Kiev Oblast|Kiew|Kijew|Kiiv|Kijev|Kiyev|Kyiv|Kyjiv|Kyyiv|Kyyivs'ka Oblast'","Oblast'","Region"
3213,237,"UKR","Ukraine",13,"Kirovohrad","","Kirovograd|Kirovogradskaya Oblast'","Oblast'","Region"
3214,237,"UKR","Ukraine",14,"L'viv","","Lemberg|Llvov|L'vov|Lwow|L'vivs'ka Oblast'","Oblast'","Region"
3215,237,"UKR","Ukraine",15,"Luhans'k","","Luhansk|Lugansk|Luhans'ka Oblast'|Voroshilovgrad","Oblast'","Region"
3216,237,"UKR","Ukraine",16,"Mykolayiv","","Mykolaiv|Nikolajew|Nikolayev","Oblast'","Region"
3217,237,"UKR","Ukraine",17,"Odessa","","Odesa|Odes'ka Oblast'|Odesskaya Oblast'","Oblast'","Region"
3218,237,"UKR","Ukraine",18,"Poltava","","","Oblast'","Region"
3219,237,"UKR","Ukraine",19,"Rivne","","Rovno|Rivnens'ka Oblast'|Rovenskaya Oblast'","Oblast'","Region"
3220,237,"UKR","Ukraine",20,"Sevastopol'","","Sebastopol","Autonomous Republic","Autonomous Republic"
3221,237,"UKR","Ukraine",21,"Sumy","","","Oblast'","Region"
3222,237,"UKR","Ukraine",22,"Ternopil'","","Ternopol|Ternopol'","Oblast'","Region"
3223,237,"UKR","Ukraine",23,"Transcarpathia","","Transcarpathian|Zakarpattia|Ruthenia|Zakarpats'ka Oblast'|Zakarpatskaya Oblast'","Oblast'","Region"
3224,237,"UKR","Ukraine",24,"Vinnytsya","","Vinnytsia|Vinnitskaya Oblast'|Vinnyts'ka Oblast|Winniza","Oblast'","Region"
3225,237,"UKR","Ukraine",25,"Volyn","","Volhynia|Volyns'ka Oblast'|Volynskaya Oblast'|Wolynien","Oblast'","Region"
3226,237,"UKR","Ukraine",26,"Zaporizhzhya","","Saporoshje|Zaporizhia|Zaporiz'ka Oblast'|Zaporojie|Zaporozhskaya Oblast'|Zaporozh'ye|Zaporožje","Oblast'","Region"
3227,237,"UKR","Ukraine",27,"Zhytomyr","","Zhitomir|Jitomir|Shitomir|Zhitomirskaya Oblast'","Oblast'","Region"
