"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
33071,237,"UKR","Ukraine",4,"Crimea",72,"Krasnoperekops'kyi","","Krasnoperekopsk","Raion","District"
33072,237,"UKR","Ukraine",4,"Crimea",73,"Lenins'kyi","","Leninskiy","Raion","Raion"
33073,237,"UKR","Ukraine",4,"Crimea",74,"Nyzhn'ohirs'kyi","","Nizhnegorskiy","Raion","Raion"
33074,237,"UKR","Ukraine",4,"Crimea",75,"Pervomais'kyi","","Pervomaiskiy","Raion","Raion"
33075,237,"UKR","Ukraine",4,"Crimea",76,"Rozdol'nens'kyi","","Rozdolnenskiy","Raion","Raion"
33076,237,"UKR","Ukraine",4,"Crimea",77,"Saks'ka","","Saq-city","Misto","City"
33077,237,"UKR","Ukraine",4,"Crimea",78,"Saks'kyi","","Saq","Raion","District"
33078,237,"UKR","Ukraine",4,"Crimea",79,"Simferopol's'ka","","Simferopol city","Mis'ka Rada","Mis'ka Rada"
33079,237,"UKR","Ukraine",4,"Crimea",80,"Simferopol's'kyi","","Simferopol","Raion","District"
33080,237,"UKR","Ukraine",4,"Crimea",81,"Soviets'kyi","","Sovetskiy","Raion","Raion"
33081,237,"UKR","Ukraine",4,"Crimea",82,"Sudats'ka","","Sudak","Misto","City"
33082,237,"UKR","Ukraine",5,"Dnipropetrovs'k",83,"Apostolivs'kyi","","Apostolovskyi","Raion","District"
33083,237,"UKR","Ukraine",5,"Dnipropetrovs'k",84,"Dniprodzerzhyns'ka","","Dniprodzerzhinsk","Mis'ka Rada","Mis'ka Rada"
33084,237,"UKR","Ukraine",5,"Dnipropetrovs'k",85,"Dnipropetrovs'ka","","Dnipropetrovsk","Mis'ka Rada","Mis'ka Rada"
33085,237,"UKR","Ukraine",5,"Dnipropetrovs'k",86,"Dnipropetrovs'kyi","","Dnipropetrovskyi","Raion","District"
33086,237,"UKR","Ukraine",5,"Dnipropetrovs'k",87,"Iurïvs'kyi","","Yuriivskyi","Raion","District"
33087,237,"UKR","Ukraine",5,"Dnipropetrovs'k",88,"Krynychans'kyi","","Krynychanskyi","Raion","District"
33088,237,"UKR","Ukraine",5,"Dnipropetrovs'k",89,"Kryvoriz'kyi","","Kryvorizkyi","Raion","District"
33089,237,"UKR","Ukraine",5,"Dnipropetrovs'k",90,"KryvyiRig","","","Misto","City"
33090,237,"UKR","Ukraine",5,"Dnipropetrovs'k",91,"Mahdalynivs'kyi","","Magdalynivskyi","Raion","District"
33091,237,"UKR","Ukraine",5,"Dnipropetrovs'k",92,"Marhanets'ka","","Marhanets","Mis'ka Rada","Mis'ka Rada"
35617,237,"UKR","Ukraine",5,"Dnipropetrovs'k",93,"Mezhivs'kyi","","Mezhovyi","Raion","District"
35618,237,"UKR","Ukraine",5,"Dnipropetrovs'k",94,"Nikopol's'ka","","","Misto","City"
35619,237,"UKR","Ukraine",5,"Dnipropetrovs'k",95,"Nikopol's'kyi","","Nikopolskyi","Raion","District"
35620,237,"UKR","Ukraine",5,"Dnipropetrovs'k",96,"Novomoskovs'ka","","Novomoskovsk","Misto","City"
35621,237,"UKR","Ukraine",5,"Dnipropetrovs'k",97,"Novomoskovs'kyi","","Novomoskovskyi","Raion","District"
35622,237,"UKR","Ukraine",5,"Dnipropetrovs'k",98,"Ordzhonikidzevs'ka","","Ordzhonikidze","Misto","City"
35623,237,"UKR","Ukraine",5,"Dnipropetrovs'k",99,"Pavlograd","","","Misto","City"
35624,237,"UKR","Ukraine",5,"Dnipropetrovs'k",100,"Pavlohrads'kyi","","Pavlogradskyi","Raion","District"
35625,237,"UKR","Ukraine",5,"Dnipropetrovs'k",101,"Petropavlivs'kyi","","Petropavlivskyi","Raion","District"
35626,237,"UKR","Ukraine",5,"Dnipropetrovs'k",102,"Petrykivs'kyi","","Petrykivskyi","Raion","District"
35627,237,"UKR","Ukraine",5,"Dnipropetrovs'k",103,"Piatykhats'kyi","","Pyatyhatskyi","Raion","District"
35628,237,"UKR","Ukraine",5,"Dnipropetrovs'k",104,"Pokrovs'kyi","","Pokrovskyi","Raion","District"
35629,237,"UKR","Ukraine",5,"Dnipropetrovs'k",105,"Shyrokivs'kyi","","Shyrochanskyi","Raion","District"
35630,237,"UKR","Ukraine",5,"Dnipropetrovs'k",106,"Sofi‹vs'kyi","","Sofiivskyi","Raion","District"
35631,237,"UKR","Ukraine",5,"Dnipropetrovs'k",107,"Solonians'kyi","","Solonyanskyi","Raion","District"
35632,237,"UKR","Ukraine",5,"Dnipropetrovs'k",108,"Synel'nykivs'ka","","","Misto","City"
35633,237,"UKR","Ukraine",5,"Dnipropetrovs'k",109,"Synel'nykivs'kyi","","Synelnikivskyi","Raion","District"
35634,237,"UKR","Ukraine",5,"Dnipropetrovs'k",110,"Tomakivs'kyi","","Tomakivskyi","Raion","District"
35635,237,"UKR","Ukraine",5,"Dnipropetrovs'k",111,"Tsarychans'kyi","","Tsarychanskyi","Raion","District"
35636,237,"UKR","Ukraine",5,"Dnipropetrovs'k",112,"Vasyl'kivs'kyi","","Vasylkivskyi","Raion","District"
36824,237,"UKR","Ukraine",1,"Cherkasy",1,"Cherkas'ka","","","Mis'ka Rada","Mis'ka Rada"
36825,237,"UKR","Ukraine",1,"Cherkasy",2,"Cherkas'kyi","","","Raion","District"
36826,237,"UKR","Ukraine",1,"Cherkasy",3,"Chornobaivs'kyi","","Chornobayivskyi","Raion","District"
36827,237,"UKR","Ukraine",1,"Cherkasy",4,"Chyhyryns'kyi","","","Raion","District"
36828,237,"UKR","Ukraine",1,"Cherkasy",5,"Drabivs'kyi","","","Raion","District"
36829,237,"UKR","Ukraine",1,"Cherkasy",6,"Horodyshchens'kyi","","Gorodyschenskyi","Raion","District"
36830,237,"UKR","Ukraine",1,"Cherkasy",7,"Kamians'kyi","","","Raion","District"
36831,237,"UKR","Ukraine",1,"Cherkasy",8,"Kanivs'ka","","","Misto","City"
36832,237,"UKR","Ukraine",1,"Cherkasy",9,"Kanivs'kyi","","","Raion","District"
36833,237,"UKR","Ukraine",1,"Cherkasy",10,"Katerynopil's'kyi","","","Raion","District"
36834,237,"UKR","Ukraine",1,"Cherkasy",11,"Khrystynivs'kyi","","","Raion","District"
36835,237,"UKR","Ukraine",1,"Cherkasy",12,"Korsun'-Shevchenkivs'kyi","","KorsunShevchenkiv","Raion","District"
36836,237,"UKR","Ukraine",1,"Cherkasy",13,"Lysians'kyi","","","Raion","District"
36837,237,"UKR","Ukraine",1,"Cherkasy",14,"Man'kivs'kyi","","Mankivskyi","Raion","District"
36838,237,"UKR","Ukraine",1,"Cherkasy",15,"Monastyryshchens'kyi","","Monastyryshchens'","Raion","District"
36839,237,"UKR","Ukraine",1,"Cherkasy",16,"Shpolians'kyi","","","Raion","District"
36840,237,"UKR","Ukraine",1,"Cherkasy",17,"Smilians'kyi","","","Raion","District"
36841,237,"UKR","Ukraine",1,"Cherkasy",18,"Tal'nivs'kyi","","","Raion","District"
36842,237,"UKR","Ukraine",1,"Cherkasy",19,"Umans'ka","","","Misto","City"
36843,237,"UKR","Ukraine",1,"Cherkasy",20,"Umans'kyi","","","Raion","District"
36844,237,"UKR","Ukraine",1,"Cherkasy",21,"Zhashkivs'kyi","","","Raion","District"
36845,237,"UKR","Ukraine",1,"Cherkasy",22,"Zolotonis'kyi","","","Raion","District"
36846,237,"UKR","Ukraine",1,"Cherkasy",23,"Zvenyhorods'kyi","","","Raion","District"
36847,237,"UKR","Ukraine",2,"Chernihiv",24,"Bakhmats'kyi","","Bahmatskyi","Raion","District"
36848,237,"UKR","Ukraine",2,"Chernihiv",25,"Bobrovyts'kyi","","Bobrovytskyi","Raion","District"
36849,237,"UKR","Ukraine",2,"Chernihiv",26,"Borznians'kyi","","Borznyanskyi","Raion","District"
36850,237,"UKR","Ukraine",2,"Chernihiv",27,"Chernihivs'ka","","Chernigiv","Misto","City"
36851,237,"UKR","Ukraine",2,"Chernihiv",28,"Chernihivs'kyi","","Chernigivskyi","Raion","District"
36852,237,"UKR","Ukraine",2,"Chernihiv",29,"Horodnians'kyi","","Gorodnyanskyi","Raion","District"
36853,237,"UKR","Ukraine",2,"Chernihiv",30,"Ichnians'kyi","","Ichnyanskyi","Raion","District"
36854,237,"UKR","Ukraine",2,"Chernihiv",31,"Koriukivs'kyi","","Koryukivskyi","Raion","District"
36855,237,"UKR","Ukraine",2,"Chernihiv",32,"Korops'kyi","","Koropskyi","Raion","District"
36856,237,"UKR","Ukraine",2,"Chernihiv",33,"Kozelets'kyi","","Kozeletskyi","Raion","District"
36857,237,"UKR","Ukraine",2,"Chernihiv",34,"Kulykivs'kyi","","Kulykivskyi","Raion","District"
36858,237,"UKR","Ukraine",2,"Chernihiv",35,"Mens'kyi","","Menskyi","Raion","District"
36859,237,"UKR","Ukraine",2,"Chernihiv",36,"Nizhyns'ka","","","Misto","City"
36860,237,"UKR","Ukraine",2,"Chernihiv",37,"Nizhyns'kyi","","Nizhynskyi","Raion","District"
36861,237,"UKR","Ukraine",2,"Chernihiv",38,"Nosivs'kyi","","Nosivskyi","Raion","District"
36862,237,"UKR","Ukraine",2,"Chernihiv",39,"Novhorod-Sivers'kyi","","NovgorodSiverskyi","Raion","District"
36863,237,"UKR","Ukraine",2,"Chernihiv",40,"Pryluts'ka","","","Misto","City"
36864,237,"UKR","Ukraine",2,"Chernihiv",41,"Pryluts'kyi","","Prylutskyi","Raion","District"
36865,237,"UKR","Ukraine",2,"Chernihiv",42,"Ripkyns'kyi","","Ripchanskyi","Raion","District"
36866,237,"UKR","Ukraine",2,"Chernihiv",43,"Semenivs'kyi","","Semenivskyi","Raion","District"
36867,237,"UKR","Ukraine",2,"Chernihiv",44,"Shchors'kyi","","Schorskyi","Raion","District"
36868,237,"UKR","Ukraine",2,"Chernihiv",45,"Sosnyts'kyi","","Sosnytskyi","Raion","District"
36869,237,"UKR","Ukraine",2,"Chernihiv",46,"Sribnians'kyi","","Sribnyanskyi","Raion","District"
36870,237,"UKR","Ukraine",2,"Chernihiv",47,"Talala‹vs'kyi","","Talalayivskyi","Raion","District"
36871,237,"UKR","Ukraine",2,"Chernihiv",48,"Varvyns'kyi","","Varvenskyi","Raion","District"
36872,237,"UKR","Ukraine",3,"Chernivtsi",49,"Chernivets'ka","","Chernivtsi","Misto","City"
36873,237,"UKR","Ukraine",3,"Chernivtsi",50,"Hlybots'kyi","","","Raion","District"
36874,237,"UKR","Ukraine",3,"Chernivtsi",51,"Kel'menets'kyi","","Kelmenetskyi","Raion","District"
36875,237,"UKR","Ukraine",3,"Chernivtsi",52,"Khotyns'kyi","","Khotynskyi","Raion","District"
36876,237,"UKR","Ukraine",3,"Chernivtsi",53,"Kitsmans'kyi","","Kitsmanskyi","Raion","District"
36877,237,"UKR","Ukraine",3,"Chernivtsi",54,"Novoselits'kyi","","Novoselytskyi","Raion","District"
36878,237,"UKR","Ukraine",3,"Chernivtsi",55,"Putyl's'kyi","","Putylskyi","Raion","District"
36879,237,"UKR","Ukraine",3,"Chernivtsi",56,"Sokyrians'kyi","","Sokyryanskyi","Raion","District"
36880,237,"UKR","Ukraine",3,"Chernivtsi",57,"Storozhynets'kyi","","Storozhynetskyi","Raion","District"
