Код,RegionName,ВёскаЗапісу,Широта,Долгота
1,Витебская,Александровский,54.7616,29.747
2,Гродненская,Алексичи ,53.2624,24.918
3,Гомельская,Бабичи ,52.2887,30.0013
5,Гродненская,Баратин ,53.6067,26.0400
6,Гомельская,Барбаров ,51.9005,29.4736
7,Витебская,Батуколово ,55.0736,29.0432
8,Брестская,Бездеж ,52.3222,25.3155
9,Могилевская,Белая Дуброва ,53.2463,31.9746
10,Витебская,Белевичи ,55.0985,27.470
12,Брестская,Бельск ,52.0085,24.4179
13,Брестская,Бережное ,51.9884,26.9918
15,Могилевская,Березуйки ,53.8864,31.7403
16,Витебская,Берестни ,54.9939,29.4226
17,Гомельская,Беседь ,52.6369,31.1988
18,Минская,Бобр ,54.3174,29.259
19,Витебская,Богушевск ,54.8477,30.2094
22,Могилевская,Борисовщина ,52.9786,28.7302
23,Брестская,Борки ,51.8813,26.2871
24,Минская,Борки ,53.617600,28.006600
25,Могилевская,Боровая ,53.5476,31.6628
27,Витебская,Боровцы ,54.66741,29.39174
29,Витебская,Бояры ,54.9491,29.3003
30,Гомельская,Бронная ,52.5034,28.0067
32,Витебская,Будянка,55.39648,30.76221
34,Минская,Бычин ,53.5928,28.93
35,Витебская,Бычково,55.2753,27.5033
36,Брестская,Валище ,52.3982,25.9429
37,Минская,Ванковщина ,53.739,27.7646
38,Витебская,Васевичи ,55.1064,27.1432
39,Гомельская,Ващанки ,53.2119,30.7725
40,Витебская,Вежовка ,54.9162,29.2455
41,Гомельская,Великий Бор ,52.0328,29.9325
42,Минская,Великий Рожан ,52.765765,27.118539
43,Брестская,Великое Село ,52.6312,24.3204
44,Витебская,Великое Село ,55.094100,"30.590000,"
45,Брестская,Велута ,52.4592,26.7929
46,Могилевская,Веприн ,53.5492,31.5244
47,Гомельская,Вербовичи,51.7146,29.5076
48,Гомельская,Верхние Жары ,51.3396,30.5869
49,Брестская,Теребежов Верхний,51.832182,26.725805
50,Витебская,Верховье ,55.19,30.21
51,Витебская,Ветахмо ,54.8218,27.6379
52,Брестская,Вешня ,51.9092,26.2611
53,Витебская,Вировля ,55.6448,29.8651
54,Брестская,Вичин ,52.2748,26.9265
55,Витебская,Вишковичи ,54.8471,29.267
56,Брестская,Власовцы ,51.9823,25.466
57,Гродненская,Войневичи ,53.2656,25.3795
58,Минская,Волка ,53.6605,26.9765
59,Минская,Волковщина ,54.0297,27.0544
60,Брестская,Воловель ,52.1361,24.9663
61,Минская,Володьки ,53.5721,27.4605
62,Гомельская,Волчья Гора ,52.3028,30.3599
63,Брестская,Воля ,52.6643,25.326
65,Гродненская,Воронча ,53.4167,26.0606
66,Брестская,Вуйвичи ,52.0495,26.5042
67,Брестская,Вулька Попинская ,52.1177,25.1179
68,Минская,Выдрица ,54.1791,29.0495
69,Гомельская,Вышелов ,52.0934,28.33
70,Гомельская,Гадиловичи ,53.0768,30.2708
