place,Longitude,Latitude,Stone_templte,Monastery,Centr,Eparhija_centr,Comment
Азярышча,29.98333,55.83333,,,Centr_pryhoda_XIV_XV,,
Дрыса,27.933333,55.766667,,,Centr_pryhoda_XIV,,
Дзісна,28.22583,55.5627,,,Centr_pryhoda_XIV_XV,,
Друя,27.4339399,55.7877238,,,Centr_pryhoda_XIV,,
Браслаў,27.0151108,55.6292571,,,Centr_hr_XI-XIII,,
Дрысвяты,26.660083,55.5911092,,,Centr_pryhoda_XIV_XV,,
Сураж,30.70079,55.4083017,,,Centr_pryhoda_XIV_XV,,
Ула,29.223514,55.2230652,,,Centr_pryhoda_XIV_XV,,
Полацк,28.7106,55.4983914,yes,yes,Centr_hr_X-XI,yes,
Віцебск,30.05481,55.1938981,yes,yes,Centr_hr_XI-XIII,,
Свір,26.3645,54.847365,,,Centr_pryhoda_XIV_XV,,
Докшыцы,27.74839,54.8915267,,,Centr_pryhoda_XIV_XV,,
Беразіно,28.9589,53.8389311,,,Centr_pryhoda_XIV_XV,,
Стары Лепель,28.68306,54.92389,,,Centr_pryhoda_XIV_XV,,
Смаленск,31.835,54.7844473,yes,yes,Centr_hr_X-XI,yes,
Лукомль,29.14944,54.70806,,yes,Centr_hr_XI-XIII,,
Куранец,26.953,54.5791,,,Centr_pryhoda_XIV,,
Маладэчна,26.85,54.316667,,,Centr_pryhoda_XIV,,
Лоск,26.4375,54.26583,,,Centr_pryhoda_XIV,,
Крэва,26.2865472,54.31037,,,Centr_pryhoda_XIV,,
Гальшаны,26.012222,54.257222,,,Centr_pryhoda_XIV,,
Лебедзева,26.70109,54.3095968,,,Centr_pryhoda_XIV,,
Славенск,26.39056,54.14944,,,Centr_pryhoda_XIV,,
Ліда,25.26147,53.9007,,,Centr_pryhoda_XIV,,
Цяцерын,29.76139,54.15778,,,Centr_pryhoda_XIV,,
Абольцы,29.828389,54.594444,,,Centr_pryhoda_XIV,,
Магілёў,30.35,53.91666,,,Centr_pryhoda_XIV,,
Быхаў,30.25,53.51666,,,Centr_pryhoda_XIV,,
Ляхавічы,26.226,53.0387,,,Centr_pryhoda_XIV,,
Ігумен,28.43222,53.70778,,,Centr_pryhoda_XIV,,
Любашаны,29.221,53.802535,,,Centr_pryhoda_XIV,,
Бабруйск,29.23333,53.15,,,Centr_pryhoda_XIV,,
Глуск,28.659,52.895657,,,Centr_pryhoda_XIV,,
Горваль,30.167,52.5695928,,,Centr_pryhoda_XIV,,
Стрэшын,30.09119,52.7302,,,Centr_pryhoda_XIV,,
Лучын,30.006515,53.01,,,Centr_pryhoda_XIV,,
Перароў,28.002,52.057741,,,Centr_pryhoda_XIV,,
Высокае,23.3683,52.370506,,,Centr_pryhoda_XIV_XV,,
Шарашова,24.2064,52.557897,,,Centr_pryhoda_XIV_XV,,
Столін,26.82701,51.89841,,,Centr_pryhoda_XIV_XV,,
Петрыкаў,28.477,52.1278,,,Centr_pryhoda_XIV_XV,,
Лоеў,30.78583,51.9421,,,Centr_pryhoda_XIV_XV,,
Радомля,31.0308,53.962964,,,Centr_pryhoda_XIV_XV,,
Горы,30.9792,54.285,,,Centr_pryhoda_XIV_XV,,
Свіслач,24.1,53.03,,,Centr_hr_XI-XIII,,
Барысаў,28.484,54.2237,,,Centr_hr_XI-XIII,,
Прапойск,30.996389,53.445278,,,Centr_hr_XI-XIII,,
Рэчыца,30.346,52.36,,,Centr_hr_XI-XIII,,
Гомель,30.9744,52.4158,,,Centr_hr_XI-XIII,,
Чачэрск,30.916667,52.9166,,,Centr_hr_XI-XIII,,
Рагачоў,30.0298,53.082,,,Centr_hr_XI-XIII,,
Брагін,30.24084,51.7935,,,Centr_hr_XI-XIII,,
Орша,30.3667,54.5118,,,Centr_hr_XI-XIII,,
Друцк,29.755,54.3395,,,Centr_hr_XI-XIII,,
Копысь,30.28138,54.3212,,,Centr_hr_XI-XIII,,
Крычаў,31.6328,53.7108,,,Centr_hr_XI-XIII,,
Давыд-Гарадок,27.183,52.057,,,Centr_hr_XI-XIII,,
Здзітаў,25.2372,52.42,,,Centr_hr_XI-XIII,,
Капыль,27.05724,53.153,,,Centr_hr_XI-XIII,,
Клецк,26.6221,53.0637,,,Centr_hr_XI-XIII,,
Слонім,25.2784,53.084,,,Centr_hr_XI-XIII,,
Турыйск,24.86667,53.46667,,,Centr_hr_XI-XIII,,
Кобрын,24.32,52.21,,,Centr_hr_XI-XIII,,
Пінск,25.997,52.13,,yes,Centr_hr_XI-XIII,,
Слуцк,27.4792,53.023,,yes,Centr_hr_XI-XIII,,
Мазыр,29.1773,52.057,,yes,Centr_hr_XI-XIII,,
Лаўрышаўскі ман.,26.18748,53.7018,,yes,Centr_hr_XI-XIII,,
Койданава,27.06052,53.687,,,Centr_pryhoda_XIV_XV,,
Лагойск,27.811,54.205,,yes,Centr_hr_XI-XIII,,
Мсціслаў,31.68256,54.022,,yes,Centr_hr_XI-XIII,,
Пустынскі ман.,31.745,54.1019,,yes,Centr_pryhoda_XIV,,
Горадня,23.791,53.67321,yes,,Centr_hr_XI-XIII,,
Ваўкавыск,24.397,53.1436,yes,,Centr_hr_XI-XIII,,
Камянец,23.789,52.403,yes,,Centr_hr_XI-XIII,,
Берасце,23.638,52.092,yes,yes,Centr_hr_XI-XIII,,
Наваградак,25.7988,53.595,yes,yes,Centr_hr_XI-XIII,,
Менск,27.51,53.9046,yes,yes,Centr_hr_XI-XIII,,
Тураў,27.731,52.067,yes,yes,Centr_hr_X-XI,yes,
Чарнігаў,31.2204,51.495,yes,yes,Centr_hr_X-XI,yes,
Заслаўе,27.25691,54.005,,yes,Centr_hr_X-XI,yes,
